Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,11,Justin Perillo,TE,5,GB,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,CJ Fiedorowicz,TE,4,HOU,TEN,5,4,80,48,1,18,10,12,0,0,0,0,0,12.80
2016,REG,2,Ryan Griffin,TE,3,HOU,NE,10,8,80,52,0,11,5,7,0,0,0,0,0,9.20
2016,REG,3,CJ Fiedorowicz,TE,5,HOU,MIN,8,4,50,61,0,22,8,15,0,0,0,0,0,8.10
2016,REG,4,Ryan Griffin,TE,4,HOU,TEN,5,3,60,54,0,45,11,18,0,0,0,0,0,6.90
2016,REG,5,Stephen Anderson,TE,1,HOU,CHI,3,3,100,25,0,12,8,8,0,0,0,0,0,4.00
2016,REG,6,Ryan Griffin,TE,1,HOU,CHI,2,2,100,17,0,12,9,9,0,0,0,0,0,2.70
2016,REG,7,Stephen Anderson,TE,2,HOU,KC,3,2,67,15,0,8,5,8,0,0,0,0,0,2.50
2016,REG,8,Ryan Griffin,TE,5,HOU,MIN,6,2,33,8,0,5,1,4,0,0,0,0,0,1.80
2016,REG,9,CJ Fiedorowicz,TE,1,HOU,CHI,2,1,50,6,0,6,3,6,0,0,0,0,0,1.10
2016,REG,10,Ryan Griffin,TE,2,HOU,KC,2,1,50,5,0,5,3,5,0,0,0,0,0,1.00
2016,REG,11,CJ Fiedorowicz,TE,2,HOU,KC,1,1,100,1,0,1,1,1,0,0,0,0,0,0.60
2016,REG,12,CJ Fiedorowicz,TE,3,HOU,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Stephen Anderson,TE,3,HOU,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Jack Doyle,TE,1,IND,DET,4,3,75,35,2,16,9,12,0,0,0,0,0,17.00
2016,REG,2,Dwayne Allen,TE,1,IND,DET,6,4,67,53,1,19,9,13,0,0,0,0,0,15.30
2016,REG,3,Dwayne Allen,TE,5,IND,CHI,6,6,100,50,1,20,8,8,0,0,0,1,0,14.00
2016,REG,4,Jack Doyle,TE,3,IND,LAC,6,6,100,65,0,16,11,11,0,0,0,0,0,9.50
2016,REG,5,Jack Doyle,TE,2,IND,DEN,5,4,80,37,0,22,7,9,0,0,0,0,0,5.70
2016,REG,6,Dwayne Allen,TE,3,IND,LAC,5,3,60,35,0,14,7,12,0,0,0,0,0,5.00
2016,REG,7,Dwayne Allen,TE,2,IND,DEN,4,2,50,25,0,13,6,13,0,0,0,0,0,3.50
2016,REG,8,Dwayne Allen,TE,4,IND,JAX,4,2,50,20,0,13,5,10,0,0,0,0,0,3.00
2016,REG,9,Jack Doyle,TE,5,IND,CHI,3,2,67,8,0,4,3,4,0,0,0,0,0,1.80
2016,REG,10,Jack Doyle,TE,4,IND,JAX,1,1,100,6,0,6,6,6,0,0,0,0,0,1.10
2016,REG,11,Erik Swoope,TE,1,IND,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Erik Swoope,TE,2,IND,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Erik Swoope,TE,3,IND,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Erik Swoope,TE,4,IND,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
